Alt,Direction,Endpoint,INPacketCountArgument,NominalBytesPerInterval,TotalLength,Category,FailedAt,DeviceSpeed,Win32Error,UsbdStatus,BytesTransferred,Result
5,IN,0x83,4,24,96,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
5,IN,0x83,4,50,200,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
5,IN,0x83,4,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
5,IN,0x83,8,49,392,exact,NONE,HIGH,0,0x00000000,392,ACCEPTED
5,IN,0x83,8,24,192,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
5,IN,0x83,8,50,400,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
5,IN,0x83,8,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
5,IN,0x83,10,49,490,exact,NONE,HIGH,0,0x00000000,490,ACCEPTED
5,IN,0x83,10,24,240,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
5,IN,0x83,10,50,500,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
5,IN,0x83,10,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
5,IN,0x83,16,49,784,exact,NONE,HIGH,0,0x00000000,784,ACCEPTED
5,IN,0x83,16,24,384,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
5,IN,0x83,16,50,800,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
5,IN,0x83,16,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
5,IN,0x83,20,49,980,exact,NONE,HIGH,0,0x00000000,980,ACCEPTED
5,IN,0x83,20,24,480,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
5,IN,0x83,20,50,1000,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
5,IN,0x83,20,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
5,IN,0x83,32,49,1568,exact,NONE,HIGH,0,0x00000000,1568,ACCEPTED
5,IN,0x83,32,24,768,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
5,IN,0x83,32,50,1600,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
5,IN,0x83,32,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
5,IN,0x83,64,49,3136,exact,NONE,HIGH,0,0x00000000,3136,ACCEPTED
5,IN,0x83,64,24,1536,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
5,IN,0x83,64,50,3200,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
5,IN,0x83,64,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
6,OUT,0x03,N/A,63,63,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,31,31,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,64,64,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
