Alt,Direction,Endpoint,INPacketCountArgument,NominalBytesPerInterval,TotalLength,Category,FailedAt,DeviceSpeed,Win32Error,UsbdStatus,BytesTransferred,Result
2,OUT,0x03,N/A,8,16,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
2,OUT,0x03,N/A,18,36,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
2,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
2,OUT,0x03,N/A,17,68,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
2,OUT,0x03,N/A,8,32,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
2,OUT,0x03,N/A,18,72,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
2,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
2,OUT,0x03,N/A,17,136,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
2,OUT,0x03,N/A,8,64,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
2,OUT,0x03,N/A,18,144,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
2,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
2,OUT,0x03,N/A,17,170,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
2,OUT,0x03,N/A,8,80,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
2,OUT,0x03,N/A,18,180,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
2,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
2,OUT,0x03,N/A,17,272,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
2,OUT,0x03,N/A,8,128,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
2,OUT,0x03,N/A,18,288,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
